development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
dsa-MR5,Liston Road,,local-authority-eng:BUC,area/location-specific-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-MR5
dsa-PR1,Primary Shopping Frontages: Princes Risborough,,local-authority-eng:BUC,area/location-specific-policy;retail-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-PR1
dsa-PR2,Secondary Shopping Frontages: Princes Risborough,,local-authority-eng:BUC,area/location-specific-policy;retail-policy,E07000007,,2020-12-21,2013-07-16,,/development-policy/local-authority-eng/BUC/dsa-PR2
edlesboroughndp-EP1,The Edlesborough Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP1
edlesboroughndp-EP10,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP10
edlesboroughndp-EP11,Buildings of Local Interest,,local-authority-eng:BUC,,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP11
edlesboroughndp-EP12,Housing Mix & Design,,local-authority-eng:BUC,design;housing-mix,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP12
edlesboroughndp-EP2,"Land at The Green, Edlesborough",,local-authority-eng:BUC,allocated-sites,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP2
edlesboroughndp-EP3,"Land adjacent to Good Intent, Edlesborough",,local-authority-eng:BUC,allocated-sites,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP3
edlesboroughndp-EP4,"Land at Slicketts Lane, Edlesborough",,local-authority-eng:BUC,allocated-sites,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP4
edlesboroughndp-EP5,Commercial & Retail Developments,,local-authority-eng:BUC,retail,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP5
edlesboroughndp-EP6,Economic Development,,local-authority-eng:BUC,development-management;economy,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP6
edlesboroughndp-EP7,Expansion of Local Services,,local-authority-eng:BUC,community-facilities;development-managemen,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP7
edlesboroughndp-EP8,The Northall Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP8
edlesboroughndp-EP9,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001482,,2020-12-21,2017-10-16,,/development-policy/local-authority-eng/BUC/edlesboroughndp-EP9
greathorwoodndp-P1,Spatial Plan & Sustainable Development,,local-authority-eng:BUC,development-management,E04001488,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/greathorwoodndp-P1
greathorwoodndp-P2,Land South of Little Horwood Road,,local-authority-eng:BUC,allocated-sites,E04001488,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/greathorwoodndp-P2
greathorwoodndp-P3,Land North of Little Horwood Road,,local-authority-eng:BUC,allocated-sites,E04001488,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/greathorwoodndp-P3
greathorwoodndp-P4,Land Off Nash Road,,local-authority-eng:BUC,allocated-sites,E04001488,,2020-12-21,2015-03-16,,/development-policy/local-authority-eng/BUC/greathorwoodndp-P4
greatlittlekimblecumilmerndp-KIM1,Settlement Boundaries,,local-authority-eng:BUC,strategic-policy,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM1
greatlittlekimblecumilmerndp-KIM2,Design Principles,,local-authority-eng:BUC,design,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM2
greatlittlekimblecumilmerndp-KIM3,Housing Site Allocations,,local-authority-eng:BUC,allocated-sites;housing,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM3
greatlittlekimblecumilmerndp-KIM4,Schools,,local-authority-eng:BUC,community-facilities;education;schools,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM4
greatlittlekimblecumilmerndp-KIM5,Landscape Buffer,,local-authority-eng:BUC,nature,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM5
greatlittlekimblecumilmerndp-KIM6,Employment,,local-authority-eng:BUC,employment,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM6
greatlittlekimblecumilmerndp-KIM7,Community & Leisure Uses,,local-authority-eng:BUC,community-facilities;leisure,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM7
greatlittlekimblecumilmerndp-KIM8,Protecting International Habitats,,local-authority-eng:BUC,ecology,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM8
greatlittlekimblecumilmerndp-KIM9,Section 106 Agreements,,local-authority-eng:BUC,section-106,E04001599,,2020-12-21,,,/development-policy/local-authority-eng/BUC/greatlittlekimblecumilmerndp-KIM9
haddenhamndp-CES1,Play Facilities,,local-authority-eng:BUC,community-facilities;leisure;play-space,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-CES1
haddenhamndp-HWS1,Local Green Space Designations,,local-authority-eng:BUC,community-facilities;designation,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-HWS1
haddenhamndp-HWS2,Protecting Community Amenities,,local-authority-eng:BUC,community-facilities,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-HWS2
haddenhamndp-RBJ1,Retaining the Retail Arcade,,local-authority-eng:BUC,area/location-specific-policy,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-RBJ1
haddenhamndp-SRL1,Redevelopment of the Recreation Ground Pavilion,,local-authority-eng:BUC,area/location-specific-policy,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-SRL1
haddenhamndp-SRL2,Redevelopment at Banks Park,,local-authority-eng:BUC,area/location-specific-policy,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-SRL2
haddenhamndp-SRL3,"Enhancing, Protecting and Providing new Natural Environment Habitats, Trees and Hedgerows",,local-authority-eng:BUC,biodiversity;ecology;nature;trees,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-SRL3
haddenhamndp-TGA1,Car and Cycle Parking Standards,,local-authority-eng:BUC,car-parks;cycling;parking,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-TGA1
haddenhamndp-TGA2,On-site Walking and Cycling,,local-authority-eng:BUC,cycling;development-management;leisure;walking,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-TGA2
haddenhamndp-TGA3,Cycle and Pedestrian Networks,,local-authority-eng:BUC,cycling;development-management;leisure;walking,E04001490,,2020-12-21,2015-09-11,,/development-policy/local-authority-eng/BUC/haddenhamndp-TGA3
ickfordndp-BEH1,Heritage Assets,,local-authority-eng:BUC,conservation-area;heritage;listed-buildings,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-BEH1
ickfordndp-BEH2,Design In The Conservation Area,,local-authority-eng:BUC,conservation-area;design,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-BEH2
ickfordndp-BEH3,The Setting Of The Conservation Area,,local-authority-eng:BUC,conservation-area,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-BEH3
ickfordndp-BEH4,Non Designated Heritage Assets,,local-authority-eng:BUC,heritage,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-BEH4
ickfordndp-CF1,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-CF1
ickfordndp-E1,Economic Opportunities,,local-authority-eng:BUC,economy,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-E1
ickfordndp-F1,Flooding,,local-authority-eng:BUC,flooding,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-F1
ickfordndp-ND1,Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-ND1
ickfordndp-ND2,High Quality Design,,local-authority-eng:BUC,design,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-ND2
ickfordndp-ND3,New Housing Development,,local-authority-eng:BUC,housing,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-ND3
ickfordndp-ND4,Housing Mix And Affordability,,local-authority-eng:BUC,affordable-housing;housing-mix,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-ND4
ickfordndp-NE1,"Landscape, Views And Dark Skies",,local-authority-eng:BUC,views;nature,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-NE1
ickfordndp-NE2,Green Infrastructure & Biodiversity,,local-authority-eng:BUC,biodiversity;nature;ecology,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-NE2
ickfordndp-NE3,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-NE3
ickfordndp-TT1,Traffic And Transport,,local-authority-eng:BUC,transport,E04001497,,2020-12-21,,,/development-policy/local-authority-eng/BUC/ickfordndp-TT1
ivinghoendp-BUS1,Encouragement of businesses,,local-authority-eng:BUC,economy;employment,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-BUS1
ivinghoendp-ENV1,Biodiversity net gain,,local-authority-eng:BUC,biodiversity;development-management,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-ENV1
ivinghoendp-ENV2,Heritage assets,,local-authority-eng:BUC,conservation-area;heritage;listed-buildings,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-ENV2
ivinghoendp-ENV3,"Footpaths, bridleways and cycleways",,local-authority-eng:BUC,cycling;development-management,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-ENV3
ivinghoendp-HSG1,Development within Ivinghoe and Ivinghoe Aston,,local-authority-eng:BUC,area/location-specific-policy;development-management,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-HSG1
ivinghoendp-HSG2,Development outside Ivinghoe and Ivinghoe Aston,,local-authority-eng:BUC,area/location-specific-policy;development-management,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-HSG2
ivinghoendp-REC1,Recreational facilities,,local-authority-eng:BUC,community-facilities,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-REC1
ivinghoendp-REC2,Impacts of other developments on recreational facilities,,local-authority-eng:BUC,community-facilities,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-REC2
ivinghoendp-TEL1,Telecommunications technology,,local-authority-eng:BUC,broadband;infrastructure;communications;development-management,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-TEL1
ivinghoendp-TRA1,Highway safety and parking,,local-authority-eng:BUC,car-parks;highways;parking,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-TRA1
ivinghoendp-TRA2,Developer contribution to highway safety and parking,,local-authority-eng:BUC,car-parks;highways;parking,E04001498,,2020-12-21,2018-12-14,,/development-policy/local-authority-eng/BUC/ivinghoendp-TRA2
longcrendonndp-LC1,Long Crendon Settlement Boundary,,local-authority-eng:BUC,development-management,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC1
longcrendonndp-LC10,Design in the Conservation Areas & their Setting,,local-authority-eng:BUC,conservation-area;design,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC10
longcrendonndp-LC11,Buildings of Note,,local-authority-eng:BUC,,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC11
longcrendonndp-LC12,Key Views,,local-authority-eng:BUC,views,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC12
longcrendonndp-LC13,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC13
longcrendonndp-LC14,Green Infrastructure & Biodiversity,,local-authority-eng:BUC,biodiversity,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC14
longcrendonndp-LC2,New Homes off Westfield Road,,local-authority-eng:BUC,allocated-sites;housing,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC2
longcrendonndp-LC3,New Homes off Sandy Lane,,local-authority-eng:BUC,allocated-sites;housing,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC3
longcrendonndp-LC4,Housing for Older People,,local-authority-eng:BUC,specialised-housing,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC4
longcrendonndp-LC5,Key Employment Sites,,local-authority-eng:BUC,employment,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC5
longcrendonndp-LC6,Village Square,,local-authority-eng:BUC,area/location-specific-policy,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC6
longcrendonndp-LC7,Long Crendon Primary School,,local-authority-eng:BUC,community-facilities;education;schools,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC7
longcrendonndp-LC8,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC8
longcrendonndp-LC9,General Design Principles,,local-authority-eng:BUC,design,E04001505,,2020-12-21,2017-10-05,,/development-policy/local-authority-eng/BUC/longcrendonndp-LC9
longwickcumilmerndp-A1,Development at Longwick Village,,local-authority-eng:BUC,development-management,/development-policy-area/local-authority-eng/BUC/LPA1,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-A1
longwickcumilmerndp-A2,New Housing Allocations,,local-authority-eng:BUC,allocated-sites;housing,/development-policy-area/local-authority-eng/BUC/LPA2,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-A2
longwickcumilmerndp-A3,Retaining Longwick Village’s Distinct Rural Identity,,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPA3,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-A3
longwickcumilmerndp-A4,Local Green Space Designations,,local-authority-eng:BUC,community-facilities;designation,/development-policy-area/local-authority-eng/BUC/LPA4,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-A4
longwickcumilmerndp-A5,Small Scale Business Space,,local-authority-eng:BUC,economy;employment,/development-policy-area/local-authority-eng/BUC/LPA5,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-A5
longwickcumilmerndp-A6,Shoulder of Mutton Public House,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPA6,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-A6
longwickcumilmerndp-L1,"Site Allocation on the eastern side of Thame Road, leading around to Bar Lane",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPL1,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-L1
longwickcumilmerndp-L2,Site Allocation of land at Boxer Road/ Barn Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPL2,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-L2
longwickcumilmerndp-L3,Site Allocation of land on Thame Road east of Chestnut Way junction,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPL3,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-L3
longwickcumilmerndp-L4,Site Allocation of land at Rose Farm frontage and South,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPL4,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-L4
longwickcumilmerndp-L5,Site Allocation of land adjacent to Red House Farm,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPL5,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-L5
longwickcumilmerndp-L6,Site Allocation of land adjacent to Anderdons Farm,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,/development-policy-area/local-authority-eng/BUC/LPL6,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/longwickcumilmerndp-L6
marshgibbonndp-MG1,Development within Conservation Areas,,local-authority-eng:BUC,conservation-area;development-management,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG1
marshgibbonndp-MG10,Small scale Businesses,,local-authority-eng:BUC,economy;employment,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG10
marshgibbonndp-MG11,Relocation of Businesses,,local-authority-eng:BUC,economy;employment,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG11
marshgibbonndp-MG12,Reuse and Relocation of Farm Buildings,,local-authority-eng:BUC,development-management,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG12
marshgibbonndp-MG13,Providing Parking Spaces,,local-authority-eng:BUC,car-parks;parking,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG13
marshgibbonndp-MG14,Private Visitor Parking,,local-authority-eng:BUC,car-parks;parking,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG14
marshgibbonndp-MG15,Business Traffic,,local-authority-eng:BUC,transport,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG15
marshgibbonndp-MG16,Access and Parking for School,,local-authority-eng:BUC,car-parks;community-facilities;education;parking;schools,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG16
marshgibbonndp-MG17,Protection of Community Facilities,,local-authority-eng:BUC,community-facilities;development-management,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG17
marshgibbonndp-MG18,"Enhancing, Protecting and Provision of new Recreation Facilities",,local-authority-eng:BUC,community-facilities;development-management,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG18
marshgibbonndp-MG19,"Enhancing, Protecting and Provision of new Natural Environment Habitats, Trees and Hedgerows",,local-authority-eng:BUC,biodiversity;ecology;nature;trees,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG19
marshgibbonndp-MG2,Distinctive Local Character,,local-authority-eng:BUC,,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG2
marshgibbonndp-MG20,Water and Waste,,local-authority-eng:BUC,waste;water,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG20
marshgibbonndp-MG3,Swan Field Local Green Space Designation,,local-authority-eng:BUC,area/location-specific-policy;community-facilities;designation,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG3
marshgibbonndp-MG4,Moat Close Local Green Space Designation,,local-authority-eng:BUC,area/location-specific-policy;community-facilities;designation,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG4
marshgibbonndp-MG5,Developing on the Boundary of the Village,,local-authority-eng:BUC,development-management,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG5
marshgibbonndp-MG6,Infill Housing Development,,local-authority-eng:BUC,development-management;housing,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG6
marshgibbonndp-MG7,Meeting Local Needs,,local-authority-eng:BUC,,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG7
marshgibbonndp-MG8,Affordable Homes,,local-authority-eng:BUC,affordable-housing,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG8
marshgibbonndp-MG9,Density of all Housing,,local-authority-eng:BUC,density,E04001509,,2020-12-21,2015-02-25,,/development-policy/local-authority-eng/BUC/marshgibbonndp-MG9
pitstonendp-P1,Pitstone Settlement Boundary,,local-authority-eng:BUC,development-management,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P1
pitstonendp-P2,Land at Marsworth Road / Vicarage Road,,local-authority-eng:BUC,allocated-sites,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P2
pitstonendp-P3,Land North of Marsworth Road,,local-authority-eng:BUC,allocated-sites,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P3
pitstonendp-P4,Land West of Westfield Road,,local-authority-eng:BUC,allocated-sites,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P4
pitstonendp-P5,Area of Special Landscape Value,,local-authority-eng:BUC,nature,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P5
pitstonendp-P6,Development Principles,,local-authority-eng:BUC,development-management,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P6
pitstonendp-P7,Local Green Space,,local-authority-eng:BUC,community-facilities;designation,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P7
pitstonendp-P8,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001521,,2020-12-21,2016-04-14,,/development-policy/local-authority-eng/BUC/pitstonendp-P8
quaintonndp-CF1,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-CF1
quaintonndp-E1,Environment,,local-authority-eng:BUC,development-management,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-E1
quaintonndp-E2,Environment,,local-authority-eng:BUC,nature,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-E2
quaintonndp-H1,Housing,,local-authority-eng:BUC,housing,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-H1
quaintonndp-H2,Housing,,local-authority-eng:BUC,housing,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-H2
quaintonndp-I1,Infrastructure,,local-authority-eng:BUC,infrastructure,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-I1
quaintonndp-LE1,Local Employment,,local-authority-eng:BUC,employment,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-LE1
quaintonndp-NE1,Natural Environment- Green Spaces,,local-authority-eng:BUC,community-facilities;biodiversity;designation,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-NE1
quaintonndp-NE2,Natural Environment,,local-authority-eng:BUC,biodiversity;nature,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-NE2
quaintonndp-T1,Parking provision,,local-authority-eng:BUC,car-parks;parking,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-T1
quaintonndp-T2,Traffic,,local-authority-eng:BUC,transport,E04001524,,2020-12-21,2016-10-31,,/development-policy/local-authority-eng/BUC/quaintonndp-T2
sbcs-CP1,Housing Provision and Delivery,,local-authority-eng:BUC,allocated-sites;housing,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP1
sbcs-CP10,Employment,,local-authority-eng:BUC,employment,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP10
sbcs-CP11,Healthy and Viable Town and Village Centres,,local-authority-eng:BUC,health;town-centres,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP11
sbcs-CP12,Sustainable Energy,,local-authority-eng:BUC,energy,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP12
sbcs-CP13,Environmental and Resource Management,,local-authority-eng:BUC,,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP13
sbcs-CP14,Wilton Park (Opportunity Site),,local-authority-eng:BUC,area/location-specific-policy,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP14
sbcs-CP15,Mill Lane (Opportunity Site),,local-authority-eng:BUC,area/location-specific-policy,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP15
sbcs-CP16,South Of Iver (Opportunity Area),,local-authority-eng:BUC,area/location-specific-policy,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP16
sbcs-CP17,Other Development Sites,,local-authority-eng:BUC,development-management,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP17
sbcs-CP2,Housing Type and Size,,local-authority-eng:BUC,development-management,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP2
sbcs-CP3,Affordable Housing,,local-authority-eng:BUC,affordable-housing,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP3
sbcs-CP4,"Gypsies, Travellers and Travelling Show People",,local-authority-eng:BUC,gypsy-and-travellers,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP4
sbcs-CP5,"Open Space, Sport and Recreation",,local-authority-eng:BUC,community-facilities;leisure;open-space,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP5
sbcs-CP6,Local Infrastructure Needs,,local-authority-eng:BUC,infrastructure,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP6
