development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
avdlp-AY13,Berryfields MDA,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY13
avdlp-AY14,Weedon Hill MDA,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY14
avdlp-AY15,Aston Clinton MDA,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY15
avdlp-AY16,Other employment sites,,local-authority-eng:BUC,employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY16
avdlp-AY17,Public transport to serve new developments,,local-authority-eng:BUC,public-transport,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY17
avdlp-AY18,Safeguarded land for new rail stops,,local-authority-eng:BUC,rail,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY18
avdlp-AY2,Additional financial contributions to the ALUT strategy,,local-authority-eng:BUC,,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY2
avdlp-AY20,Development of the cycle network,,local-authority-eng:BUC,cycling;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY20
avdlp-AY21,Parking policy guidelines,,local-authority-eng:BUC,car-parks;parking,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY21
avdlp-AY22,Western Link Road,,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY22
avdlp-AY24,"Mixed-use redevelopment, Exchange Street",,local-authority-eng:BUC,area/location-specific-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY24
avdlp-AY27,Provision of new foodstore retailing,,local-authority-eng:BUC,retail,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY27
avdlp-AY28,Development within the Primary Shopping Frontages,,local-authority-eng:BUC,retail-policy;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY28
avdlp-AY29,Development within the Central Shopping Area outside the Primary Shopping Frontages,,local-authority-eng:BUC,retail-policy;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY29
avdlp-AY3,Phasing of transport infrastructure,,local-authority-eng:BUC,transport;infrastructure,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY3
avdlp-AY30,Café and restaurant development,,local-authority-eng:BUC,development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY30
avdlp-AY31,Housing in the town centre,,local-authority-eng:BUC,area/location-specific-policy;housing;town-centres,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY31
avdlp-AY34,Redevelopment of Exchange Street / Canal Basin,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY34
avdlp-AY4,Tring Road (former BPCC factory) site,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY4
avdlp-AY5,Stoke Mandeville Hospital site,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY5
avdlp-AY6,"Bearbrook House site, Oxford Road",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY6
avdlp-AY7,"TA Centre site, Oxford Road",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY7
avdlp-AY8,Ardenham Lane site,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-AY8
avdlp-BU1,Housing development at Moreton Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU1
avdlp-BU10,Pedestrian priority area proposals,,local-authority-eng:BUC,walking,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU10
avdlp-BU11,Buckingham Riverside Walk,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU11
avdlp-BU3,Employment development at Buckingham,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites;employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU3
avdlp-BU6,Primary Shopping Frontages,,local-authority-eng:BUC,area/location-specific-policy;retail-policy,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU6
avdlp-BU7,Development elsewhere in the CSA,,local-authority-eng:BUC,area/location-specific-policy;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU7
avdlp-BU8,Sites at West Street / Moreton Road and Bridge Street,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-BU8
avdlp-GP100,Proposals for telecommunication development,,local-authority-eng:BUC,broadband;infrastructure;communications;development-management,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP100
avdlp-GP11,Annexes to dwellings in the countryside,,local-authority-eng:BUC,residential-alterations,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP11
avdlp-GP17,Retention in use of existing employment sites,,local-authority-eng:BUC,employment,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP17
avdlp-GP2,Affordable Housing,,local-authority-eng:BUC,affordable-housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP2
