description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,avdlp-GP81,waterways;development-management,,2020-12-21,E07000004,Development of canal-related facilities,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP81
,avdlp-GP84,infrastructure,,2020-12-21,E07000004,Public rights of way,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP84
,avdlp-GP86,play-space;community-facilities;leisure,,2020-12-21,E07000004,Provision of outdoor playing space,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP86
,avdlp-GP87,open-space,,2020-12-21,E07000004,Application of open space policies,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP87
,avdlp-GP88,section-106;leisure;play-space,,2020-12-21,E07000004,Payment in lieu of providing sports and play areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP88
,avdlp-GP90,leisure;community-facilities,,2020-12-21,E07000004,Provision of indoor sports facilities,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP90
,avdlp-GP91,allotments,,2020-12-21,E07000004,Provision of amenity areas,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP91
,avdlp-GP92,allotments,,2020-12-21,E07000004,Safeguarding of allotment land,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP92
,avdlp-GP93,community-facilities,,2020-12-21,E07000004,Safeguarding of community buildings and facilities,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP93
,avdlp-GP94,community-facilities,,2020-12-21,E07000004,Provision of community facilities and services,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP94
,avdlp-GP95,,,2020-12-21,E07000004,Unneighbourly uses,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP95
,avdlp-GP99,infrastructure;development-management,,2020-12-21,E07000004,Development beneath overhead electricity lines,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP99
,avdlp-GP100,broadband;infrastructure;communications;development-management,,2020-12-21,E07000004,Proposals for telecommunication development,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-GP100
,avdlp-AY1,transport,,2020-12-21,E07000004,Considerations of traffic-generating proposals,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY1
,avdlp-AY2,,,2020-12-21,E07000004,Additional financial contributions to the ALUT strategy,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY2
,avdlp-AY3,transport;infrastructure,,2020-12-21,E07000004,Phasing of transport infrastructure,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY3
,avdlp-AY4,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Tring Road (former BPCC factory) site,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY4
,avdlp-AY5,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Stoke Mandeville Hospital site,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY5
,avdlp-AY6,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Bearbrook House site, Oxford Road",,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY6
,avdlp-AY7,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"TA Centre site, Oxford Road",,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY7
,avdlp-AY8,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Ardenham Lane site,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY8
