description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,wdlp-RUR1,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land South of Finings Road, Lane End",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR1
,wdlp-RUR2,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land between Chalky Field and Marlow Road, Lane End",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR2
,wdlp-RUR3,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land at Sidney House, Lane End",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR3
,wdlp-RUR4,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19LittleMarlowCountryPark,Little Marlow Lakes Country Park,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR4
,wdlp-RUR5,area/location-specific-policy,,2020-12-21,E07000007,Longwick-cum-Ilmer Parish,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR5
,wdlp-RUR6,area/location-specific-policy,,2020-12-21,E07000007,Great and Little Kimble-cum-Marsh Parish,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR6
,wdlp-RUR7,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land off Clappins Lane, Naphill",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR7
,wdlp-RUR8,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land south of Mill Road, Stokenchurch",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR8
,wdlp-RUR9,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land at Wood Farm, Stokenchurch",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR9
,wdlp-RUR10,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19LocalEmploymentArea,Land to the rear of Stokenchurch Business Park,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR10
,wdlp-RUR11,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Land at Heavens Above, 16 High Heavens, Marlow Bottom",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR11
,wdlp-RUR12,area/location-specific-policy;allocated-sites,,2020-12-21,GIS - 19Housing,"Uplands Conference Centre, Four Ashes",,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-RUR12
,wdlp-DM20,contamination;advertising;air-quality;noise;lighting;listed-building;conservation-area,,2020-12-21,E07000007,Matters to be determined in accordance with the national planning policy framework,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM20
,wdlp-DM21,allocated-sites;housing,,2020-12-21,GIS - 19Housing,The location of new housing,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM21
,wdlp-DM22,housing-mix,,2020-12-21,E07000007,Housing mix,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM22
,wdlp-DM23,development-management,,2020-12-21,E07000007,Other residential uses,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM23
,wdlp-DM24,affordable-housing;,,2020-12-21,E07000007,Affordable housing,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM24
,wdlp-DM25,affordable-housing,,2020-12-21,E07000007,Rural exceptions Affordable Housing,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM25
,wdlp-DM26,gypsy-and-travellers,,2020-12-21,E07000007,Criteria for Traveller Sites,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM26
,wdlp-DM27,specialised-housing,,2020-12-21,E07000007,Housing for Rural Workers,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM27
,wdlp-DM28,employment,,2020-12-21,"GIS - 19StrategicEmploymentArea, 19LocalEmploymentArea",Employment Areas,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM28
,wdlp-DM29,community-facilities,,2020-12-21,E07000007,Community facilities,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM29
,wdlp-DM30,designation;nature,,2020-12-21,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Area%20of%20outstanding%20natural%20beauty&distance=0.0000001,The Chilterns Area of Outstanding Natural Beauty,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM30
,wdlp-DM31,development-management;conservation-area;heritage;listed-buildings,,2020-12-21,E07000007,Development affecting the Historic Environment,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM31
,wdlp-DM32,nature,,2020-12-21,E07000007,Landscape Character and Settlement Patterns,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM32
,wdlp-DM33,climate-change;energy;transport,,2020-12-21,E07000007,Managing Carbon Emissions: Transport and Energy Generation,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM33
,wdlp-DM34,biodiversity;development-management,,2020-12-21,E07000007,Delivering Green Infrastructure and Biodiversity in Development,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM34
,wdlp-DM35,design;development-management,,2020-12-21,E07000007,Placemaking and design quality,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM35
,wdlp-DM36,residential-alterations;existing-housing,,2020-12-21,E07000007,Extensions and alterations to existing dwellings,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM36
,wdlp-DM37,development-management,,2020-12-21,E07000007,Small scale non-residential development,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM37
,wdlp-DM38,water,,2020-12-21,E07000007,Water quality and supply,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM38
,wdlp-DM39,flooding,,2020-12-21,E07000007,Managing flood risk and sustainable drainage systems,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM39
,wdlp-DM40,development-management,,2020-12-21,E07000007,Internal space standards,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM40
,wdlp-DM41,accessibility;development-management,,2020-12-21,E07000007,Optional Technical Standards for Building Regulations Approval,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM41
,wdlp-DM42,green-belt,,2020-12-21,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,Managing development in the Green Belt,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM42
,wdlp-DM43,green-belt;housing;existing-housing;residential-alterations,,2020-12-21,https://mywycombe.wycombe.gov.uk/getdata.aspx?RequestType=LocalInfo&ms=Wycombe/AllMaps&format=JSON&x=485712&y=194116&group=Planning%20policy|Green%20belt&distance=0.0000001,The replacement or extension of dwellings in the Green Belt (including outbuildings),,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM43
,wdlp-DM44,development-management,,2020-12-21,E07000007,Development in the Countryside Outside of the Green Belt,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM44
,wdlp-DM45,green-belt,,2020-12-21,E07000007,Conversion of existing buildings in the Green Belt and other rural areas,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM45
,wdlp-DM46,area/location-specific-policy,,2020-12-21,GIS - 19SafeguardedLand,HS2 Safeguarded land,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM46
,wdlp-DM47,area/location-specific-policy,,2020-12-21,GIS - 19SafeguardedLand,Princes Risborough to Aylesbury (PRA) Safeguarded land,,development-policy:Buckinghamshire Council,2019-08-19,development-policy/development-policy/Buckinghamshire Council/wdlp-DM47
,dsa-HWTC1,development-management;town-centres,,2020-12-21,E07000007,Delivering the Town Centre Vision,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC1
,dsa-HWTC2,town-centres,,2020-12-21,E07000007,Town Centre Environment,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC2
,dsa-HWTC3,development-management,,2020-12-21,E07000007,"Connections, Movement and Access",,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC3
,dsa-HWTC4,economy,,2020-12-21,E07000007,Economy,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC4
,dsa-HWTC5,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Primary Shopping Frontages: High Wycombe,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC5
,dsa-HWTC6,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Secondary Shopping Frontages: High Wycombe,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC6
,dsa-HWTC7,area/location-specific-policy,,2020-12-21,E07000007,Easton Street,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC7
,dsa-HWTC8,area/location-specific-policy,,2020-12-21,E07000007,Council Offices and Royal Mail Sorting Office,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC8
,dsa-HWTC9,area/location-specific-policy,,2020-12-21,E07000007,Land off Duke Street,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC9
,dsa-HWTC10,area/location-specific-policy,,2020-12-21,E07000007,Swan Frontage,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC10
,dsa-HWTC11,area/location-specific-policy,,2020-12-21,E07000007,Wycombe Hospital,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC11
,dsa-HWTC12,area/location-specific-policy,,2020-12-21,E07000007,Chilterns Shopping Centre And Frogmoor East,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC12
,dsa-HWTC13,area/location-specific-policy,,2020-12-21,E07000007,Lily’s Walk (Former Gas Works Site),,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC13
,dsa-HWTC14,area/location-specific-policy,,2020-12-21,E07000007,Buckingham House and Castle House,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC14
,dsa-HWTC15,area/location-specific-policy,,2020-12-21,E07000007,Collins House and Corner of Bridge Street/Desborough Road,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC15
,dsa-HWTC16,area/location-specific-policy,,2020-12-21,E07000007,Oxford Road roundabout,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC16
,dsa-HWTC17,area/location-specific-policy,,2020-12-21,E07000007,Bridge Street,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC17
,dsa-HWTC18,area/location-specific-policy,,2020-12-21,E07000007,Baker Street,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC18
,dsa-HWTC19,area/location-specific-policy,,2020-12-21,E07000007,Rapid House,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC19
,dsa-HWTC20,area/location-specific-policy,,2020-12-21,E07000007,Oxford Road (west),,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC20
,dsa-HWTC21,area/location-specific-policy,,2020-12-21,E07000007,Central Business Centre,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HWTC21
,dsa-HW1,design;regeneration;strategic-policy,,2020-12-21,E07000007,Desborough Delivery and Design Framework,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HW1
,dsa-HW2,open-space;water,,2020-12-21,E07000007,Delivering New Open Space and River Corridor Improvements,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HW2
,dsa-HW3,area/location-specific-policy,,2020-12-21,E07000007,Green Street School,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-HW3
,dsa-MR1,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Primary Shopping Frontages: Marlow,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-MR1
,dsa-MR2,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Secondary Shopping Frontages: Marlow,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-MR2
,dsa-MR3,area/location-specific-policy,,2020-12-21,E07000007,Riley Road,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-MR3
,dsa-MR4,area/location-specific-policy,,2020-12-21,E07000007,Portlands,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-MR4
,dsa-MR5,area/location-specific-policy,,2020-12-21,E07000007,Liston Road,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-MR5
,dsa-PR1,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Primary Shopping Frontages: Princes Risborough,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-PR1
,dsa-PR2,area/location-specific-policy;retail-policy,,2020-12-21,E07000007,Secondary Shopping Frontages: Princes Risborough,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-PR2
,dsa-DM1,development-management,,2020-12-21,E07000007,Presumption in Favour of Sustainable Development,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM1
,dsa-DM2,transport,,2020-12-21,E07000007,Transport Requirements of Development Sites,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM2
,dsa-DM3,transport,,2020-12-21,E07000007,Transport Improvement Lines,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM3
,dsa-DM4,area/location-specific-policy,,2020-12-21,E07000007,Former Bourne End To High Wycombe Railway Line,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM4
,dsa-DM5,development-management,,2020-12-21,E07000007,Scattered Business Sites,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM5
,dsa-DM6,development-management,,2020-12-21,E07000007,Mixed-Use Development,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM6
,dsa-DM7,town-centres,,2020-12-21,E07000007,Town Centre Boundaries,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM7
,dsa-DM8,retail-policy,,2020-12-21,E07000007,The Primary Shopping Areas,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM8
,dsa-DM9,retail-policy,,2020-12-21,E07000007,District Centres,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM9
,dsa-DM10,retail-policy,,2020-12-21,E07000007,Thresholds for the Assessment of Schemes for Town Centre Impact,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM10
,dsa-DM11,biodiversity,,2020-12-21,E07000007,Green Networks and Infrastructure,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM11
,dsa-DM12,community-facilities;designation,,2020-12-21,GIS - 19GreenSpace,Green Spaces,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM12
,dsa-DM13,biodiversity;development-management;ecology,,2020-12-21,E07000007,"Conservation and Enhancement of Sites, Habitats and Species of Biodiversity and Geodiversity Importance",,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM13
,dsa-DM14,biodiversity;development-management,,2020-12-21,E07000007,Biodiversity In Development,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM14
,dsa-DM15,water,,2020-12-21,E07000007,Protection and Enhancement of River and Stream Corridors,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM15
,dsa-DM16,open-space,,2020-12-21,E07000007,Open Space in New Development,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM16
,dsa-DM19,infrastructure,,2020-12-21,E07000007,Infrastructure and Delivery,,development-policy:Buckinghamshire Council,2013-07-16,development-policy/development-policy/Buckinghamshire Council/dsa-DM19
,bmwlp-P1,development-management,,2020-12-21,E06000060,Safeguarding Mineral Resources,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P1
,bmwlp-P2,strategic-policy,,2020-12-21,E06000060,Spatial Strategy for Minerals Development,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P2
,bmwlp-P3,development-management,,2020-12-21,E06000060,Sand and Gravel Provision,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P3
,bmwlp-P4,allocated-sites,,2020-12-21,E06000060,Allocated Sites for Sand and Gravel Provision,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P4
,bmwlp-P5,development-management;mining,,2020-12-21,E06000060,Development Principles for Mineral Extraction,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P5
,bmwlp-P6,development-management;mining,,2020-12-21,E06000060,Borrow Pits and Extraction as an Ancillary Activity,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P6
,bmwlp-P7,aggregates,,2020-12-21,E06000060,Provision of Secondary and Recycled Aggregates,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P7
,bmwlp-P8,aggregates;rail,,2020-12-21,E06000060,Rail Aggregate Depots and Wharf Facilities,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P8
,bmwlp-P9,energy,,2020-12-21,E06000060,Energy Minerals,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P9
,bmwlp-P10,development-management;waste,,2020-12-21,E06000060,Waste Prevention and Minimisation in New Development,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P10
,bmwlp-P11,development-management;waste,,2020-12-21,E06000060,Waste Management Capacity Needs,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P11
,bmwlp-P12,development-management;waste,,2020-12-21,E06000060,Disposal to Landfill,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P12
,bmwlp-P13,strategic-policy;waste,,2020-12-21,E06000060,Spatial Strategy for Waste Management,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P13
,bmwlp-P14,development-management;waste,,2020-12-21,E06000060,Development Principles for Waste Management Facilities,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P14
,bmwlp-P15,waste,,2020-12-21,E06000060,Sewage Treatment Works,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P15
,bmwlp-P16,development-management,,2020-12-21,E06000060,Managing Impacts on Amenity and Natural Resources,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P16
,bmwlp-P17,transport,,2020-12-21,E06000060,Sustainable Transport,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P17
,bmwlp-P18,nature,,2020-12-21,E06000060,Natural Environment,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P18
,bmwlp-P19,heritage;conservation-area;listed-building,,2020-12-21,E06000060,Historic Environment,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P19
,bmwlp-P20,nature,,2020-12-21,E06000060,Landscape Character,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P20
,bmwlp-P21,green-belt,,2020-12-21,E06000060,Green Belt,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P21
,bmwlp-P22,designation;nature,,2020-12-21,E06000060,Chilterns Area of Outstanding Natural Beauty,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P22
,bmwlp-P23,climate-change;design,,2020-12-21,E06000060,Design and Climate Change,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P23
,bmwlp-P24,nature,,2020-12-21,E06000060,Environmental Enhancement,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P24
,bmwlp-P25,development-management,,2020-12-21,E06000060,Delivering High Quality Restoration and Aftercare,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P25
,bmwlp-P26,development-management;infrastructure;waste,,2020-12-21,E06000060,Safeguarding of Minerals Development and Waste Management Infrastructure,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P26
,bmwlp-P27,development-management,,2020-12-21,E06000060,Minimising Land Use Conflict,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P27
,bmwlp-P28,development-management,,2020-12-21,E06000060,Implementation,,development-policy:Buckinghamshire Council,2019-07-25,development-policy/development-policy/Buckinghamshire Council/bmwlp-P28
,astonclintonndp-HQD1,design,,2020-12-21,E04001457,High Quality Design,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-HQD1
,astonclintonndp-HQD2,design,,2020-12-21,E04001457,High Quality Design,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-HQD2
,astonclintonndp-H1,strategic-policy,,2020-12-21,E04001457,Housing - Settlement boundary,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-H1
,astonclintonndp-H2,housing,,2020-12-21,E04001457,Housing - Housing development,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-H2
,astonclintonndp-H3,affordable-housing,,2020-12-21,E04001457,Housing - Affordable housing,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-H3
,astonclintonndp-H4,specialised-housing,,2020-12-21,E04001457,Housing for Older People,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-H4
,astonclintonndp-H5,housing-mix,,2020-12-21,E04001457,Housing - Mix of housing,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-H5
,astonclintonndp-B1,community-facilities,,2020-12-21,E04001457,Business - Community facilities,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-B1
,astonclintonndp-B2,employment,,2020-12-21,E04001457,Business - Rural employment,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-B2
,astonclintonndp-B3,employment,,2020-12-21,E04001457,Business - New employment opportunities,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-B3
,astonclintonndp-B4,broadband;infrastructure;communications;development-management,,2020-12-21,E04001457,Business - High speed broadband,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-B4
,astonclintonndp-L1,area/location-specific-policy;community-facilities;leisure,,2020-12-21,E04001457,Leisure - Aston Clinton Park,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-L1
,astonclintonndp-L2,community-facilities;cycling;development-management;open-space,,2020-12-21,E04001457,"Leisure - Public open spaces, footpaths, cycle & bridleways",,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-L2
,astonclintonndp-L3,community-facilities,,2020-12-21,E04001457,Leisure - Community Centre,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-L3
,astonclintonndp-E1,community-facilities;education;health;schools,,2020-12-21,E04001457,Education & Health - Doctors & School expansion,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-E1
,astonclintonndp-E2,community-facilities;education;schools,,2020-12-21,E04001457,Education & Health - Improvements & Expansion to the School,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-E2
,astonclintonndp-T1,transport;transport,,2020-12-21,E04001457,Transport - Traffic mitigation,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-T1
,astonclintonndp-T2,cycling;leisure;transport;walking,,2020-12-21,E04001457,Transport - Encourage walking & cycling,,development-policy:Aston Clinton Parish Council,2018-08-08,development-policy/development-policy/Aston Clinton Parish Council/astonclintonndp-T2
